Soil Moisture,Humidity,Temperature,Light Intensity,Month,Status
43,61.1,32.7,538,Jun,Low
33,47.9,21.3,630,Apr,Low
73,86.4,26.2,226,Nov,Low
61,45.6,18.1,304,May,Unsustainable
99,55.8,20.1,128,Dec,Low
13,82.4,15.0,544,Nov,Low
94,80.5,16.0,818,Nov,Medium
47,41.2,39.4,563,Feb,Low
14,78.2,21.1,379,Oct,Unsustainable
71,57.5,31.6,250,Nov,Low
77,59.0,36.0,339,Mar,Low
86,38.0,28.8,365,Sep,Low
61,34.8,18.8,793,Dec,Low
39,73.7,33.2,204,Apr,Low
84,59.8,30.0,532,Mar,Low
79,56.2,33.3,1012,Aug,Medium
81,73.8,34.2,596,Jul,Medium
52,75.9,39.4,539,May,Low
23,39.5,29.3,847,Nov,Low
25,66.6,23.5,784,Dec,Low
88,38.1,31.2,257,Sep,Low
59,75.1,16.7,271,Apr,Low
40,69.4,37.4,593,Nov,Low
28,87.4,18.0,410,Jun,Low
14,34.1,23.2,502,Jan,Unsustainable
44,33.4,35.4,768,Apr,Low
64,46.9,29.9,869,Jan,Low
88,45.7,24.8,775,Jun,Low
70,44.8,26.8,758,Jul,Low
8,84.4,36.4,1002,May,Low
87,45.0,23.5,765,Feb,Low
0,46.3,36.7,562,Apr,Unsustainable
7,75.6,17.2,466,Oct,Unsustainable
87,57.0,34.4,649,Dec,Medium
62,76.6,36.2,742,Jun,Medium
10,33.9,19.5,969,Apr,Low
80,59.3,25.8,354,Nov,Low
7,32.0,19.1,307,Aug,Unsustainable
34,33.8,32.7,549,Jul,Unsustainable
34,84.4,28.4,194,Nov,Low
32,38.4,30.9,959,Aug,Low
4,61.9,19.9,938,Mar,Low
40,54.7,20.3,577,May,Low
27,50.8,16.0,782,Mar,Low
6,84.0,23.1,861,Apr,Low
72,31.3,29.0,289,Dec,Low
71,69.8,36.4,810,Sep,Medium
11,87.8,31.7,583,Sep,Low
33,63.6,25.9,832,May,Low
32,86.2,38.8,635,Dec,Low
47,33.1,33.0,855,Oct,Low
22,55.1,38.3,522,Jul,Low
61,45.6,28.2,935,Oct,Low
87,73.8,21.5,739,Jul,Medium
36,88.9,16.3,704,Jun,Low
98,45.4,33.2,911,Apr,Medium
43,69.3,18.0,232,Mar,Unsustainable
85,41.9,22.6,154,Sep,Low
90,63.9,28.3,609,Aug,Medium
34,57.8,29.1,769,Feb,Low
64,88.3,30.0,640,Jan,Medium
98,66.5,19.2,509,Feb,Low
100,51.0,24.5,310,Mar,Low
46,36.8,30.4,765,Nov,Low
77,39.1,39.2,392,Mar,Low
2,43.5,33.2,833,Nov,Low
0,45.1,38.1,214,Jul,Unsustainable
4,81.0,34.1,769,Oct,Low
89,63.7,29.8,358,Feb,Low
13,61.4,19.8,862,Jul,Low
26,36.9,31.7,221,Jul,Unsustainable
8,81.6,30.6,398,Oct,Unsustainable
78,73.4,30.1,874,Aug,Medium
14,34.1,27.2,480,Sep,Unsustainable
89,72.5,28.2,660,May,Medium
41,62.6,23.4,988,Sep,Low
76,34.9,28.0,940,Jan,Low
50,57.5,19.9,600,Nov,Low
62,59.1,35.1,396,Dec,Low
95,39.9,19.6,461,Feb,Low
51,86.7,17.1,688,Nov,Low
95,81.0,25.9,562,Sep,Medium
3,70.1,31.5,537,May,Unsustainable
93,57.7,25.9,226,Nov,Low
100,54.7,21.9,296,Jun,Low
22,69.1,29.0,320,Feb,Unsustainable
14,62.7,23.7,190,May,Unsustainable
42,33.7,38.3,510,Jul,Low
28,60.8,38.1,107,Mar,Unsustainable
35,78.4,27.6,643,Aug,Low
12,57.6,23.2,567,Jan,Unsustainable
31,33.1,33.4,419,Dec,Unsustainable
70,77.2,15.9,493,Dec,Low
58,42.1,26.9,368,May,Low
85,45.5,23.4,290,Sep,Low
27,39.9,38.0,960,Mar,Low
65,49.8,15.3,774,Sep,Low
41,75.4,28.8,160,Feb,Low
44,61.2,33.5,537,Nov,Low
61,42.3,27.1,363,May,Low
56,82.7,17.1,896,Nov,Medium
5,82.8,39.3,194,Sep,Unsustainable
27,82.2,28.0,652,Oct,Low
27,44.3,30.4,569,Apr,Unsustainable
43,57.1,20.9,760,Mar,Low
83,89.1,27.1,815,Jun,Medium
29,76.3,25.7,878,Mar,Low
61,31.6,16.9,613,Sep,Low
74,33.9,17.7,789,Sep,Low
91,57.8,35.9,293,Jan,Low
88,84.6,21.0,581,Oct,Medium
61,62.3,19.9,998,Jun,Medium
96,59.9,27.6,435,Aug,Low
0,36.3,34.2,534,Jan,Unsustainable
26,69.4,16.5,295,Feb,Unsustainable
61,79.3,29.4,954,Jun,Medium
76,52.8,18.0,348,May,Low
2,76.5,15.9,597,Apr,Unsustainable
69,87.9,16.3,311,Jan,Low
71,42.2,35.9,764,Apr,Low
26,61.4,17.9,769,Oct,Low
8,47.2,16.1,565,Feb,Unsustainable
61,77.6,25.9,973,Feb,Medium
36,64.7,36.1,750,Dec,Low
96,68.1,21.6,320,Aug,Low
50,77.9,25.5,372,Feb,Low
43,53.8,16.0,253,Sep,Unsustainable
23,84.9,26.2,348,Mar,Low
78,62.0,29.4,378,Mar,Low
58,39.5,29.3,539,Nov,Low
31,71.8,23.3,915,Aug,Low
95,77.6,22.9,375,Sep,Low
87,49.0,17.7,613,Mar,Low
51,81.4,24.2,187,May,Low
61,84.4,17.5,898,Sep,Medium
57,46.6,34.2,1022,Oct,Low
51,89.0,39.2,741,Jul,Medium
11,38.4,39.3,604,Apr,Unsustainable
38,42.1,36.6,689,Sep,Low
1,41.1,30.0,871,Dec,Unsustainable
2,83.6,32.5,340,Dec,Unsustainable
100,69.3,22.1,752,Apr,Medium
55,39.1,30.8,839,Dec,Low
80,56.4,26.4,774,May,Medium
58,66.9,27.1,335,Jul,Low
1,35.0,33.9,227,Nov,Unsustainable
1,82.9,22.0,602,Nov,Low
91,78.2,23.0,299,Jun,Low
53,60.3,38.1,1001,Aug,Medium
86,88.0,16.4,642,Sep,Medium
100,55.1,27.1,601,Aug,Medium
95,89.0,37.8,749,Feb,Medium
96,70.1,30.3,591,Apr,Medium
0,68.1,28.7,120,Apr,Unsustainable
18,40.0,21.2,333,Feb,Unsustainable
1,82.9,23.6,813,Jun,Low
52,55.6,36.3,890,Jan,Low
43,39.7,29.0,742,Oct,Low
89,30.8,27.9,515,Sep,Low
31,63.6,17.5,247,Apr,Unsustainable
69,61.6,15.4,128,Oct,Unsustainable
31,73.2,39.1,460,Apr,Low
67,83.4,24.4,407,Jan,Low
54,34.8,30.1,982,Feb,Low
74,73.9,17.0,261,Dec,Low
55,41.2,32.1,968,Nov,Low
16,81.5,38.3,951,Jan,Low
37,79.1,29.4,160,Apr,Low
23,62.4,18.2,224,Feb,Unsustainable
68,72.6,29.5,555,Jan,Low
97,48.9,34.2,170,Jun,Low
69,58.3,25.2,937,Feb,Medium
85,79.3,37.0,1006,Sep,Medium
10,57.6,31.2,975,Apr,Low
15,51.5,37.5,565,May,Low
96,59.7,30.6,342,Nov,Low
72,79.7,18.3,589,Aug,Low
58,50.1,22.7,860,Apr,Low
69,40.4,20.0,320,Sep,Low
79,72.7,37.7,572,Mar,Medium
92,79.6,34.0,632,Dec,Medium
2,36.0,31.9,593,Oct,Unsustainable
19,44.4,22.5,998,Oct,Low
58,38.5,19.6,181,Aug,Unsustainable
35,50.9,33.9,955,Apr,Low
18,57.0,26.9,978,Aug,Low
89,74.9,20.6,621,Jul,Medium
66,69.1,30.4,1022,Apr,Medium
18,67.3,16.0,111,Feb,Unsustainable
19,51.1,23.2,362,Feb,Unsustainable
95,80.5,26.7,756,Nov,Medium
70,58.3,18.7,548,Jul,Low
51,88.7,39.6,291,Jun,Low
32,68.0,20.2,861,Jul,Low
39,37.6,18.3,213,Jul,Unsustainable
38,70.6,20.1,125,Aug,Unsustainable
81,49.5,34.2,882,Dec,Medium
0,71.2,25.6,598,Jan,Unsustainable
10,34.2,29.1,607,Nov,Unsustainable
91,40.5,15.5,644,Nov,Low
56,81.3,15.9,161,Nov,Low
88,43.6,26.1,328,Feb,Low
49,80.2,35.4,914,Jan,Medium
22,46.8,37.1,706,Jul,Low
30,68.6,17.2,134,Dec,Unsustainable
93,71.6,28.5,804,Jun,Medium
41,60.8,37.8,555,Feb,Low
98,48.3,24.7,687,Apr,Low
6,42.8,35.7,990,Apr,Low
15,32.0,18.3,601,Apr,Unsustainable
89,48.2,38.4,860,Sep,Medium
59,69.2,33.8,694,Aug,Low
1,86.3,38.5,124,Mar,Unsustainable
0,82.3,31.9,668,Jul,Low
47,76.0,24.1,131,Mar,Low
11,77.3,38.5,930,May,Low
68,69.9,21.9,111,Aug,Low
36,45.6,23.3,418,Apr,Unsustainable
31,84.4,32.5,944,Feb,Medium
8,70.2,34.1,703,Aug,Low
98,63.6,38.2,100,Sep,Low
18,36.7,20.1,534,Feb,Unsustainable
47,56.8,34.9,937,Jan,Low
79,57.6,33.5,235,Nov,Low
2,81.9,16.6,295,Sep,Unsustainable
19,62.8,24.7,232,Jan,Unsustainable
23,52.8,22.1,185,Feb,Unsustainable
53,88.6,22.6,575,Apr,Low
32,36.6,39.6,906,Mar,Low
23,55.4,31.1,890,Jul,Low
74,32.5,32.9,423,Aug,Low
71,74.4,39.4,279,Aug,Low
35,85.1,24.4,615,Apr,Low
37,46.8,35.0,737,Jul,Low
83,81.5,25.9,274,Jan,Low
98,47.5,36.7,862,Mar,Medium
88,84.6,19.5,120,Jul,Low
98,75.2,38.7,204,Jan,Low
24,78.3,20.5,677,Jul,Low
92,31.1,23.2,542,May,Low
17,87.8,33.9,874,Aug,Low
81,73.6,24.8,148,May,Low
65,48.3,30.2,627,Jul,Low
53,79.8,26.1,244,Dec,Low
34,46.9,33.6,439,Dec,Unsustainable
79,82.4,20.7,861,Sep,Medium
60,36.8,16.5,954,Nov,Low
40,72.2,22.5,453,Dec,Low
99,62.4,26.9,174,Aug,Low
32,35.8,19.2,901,Mar,Low
67,44.5,23.9,893,Apr,Low
32,30.7,25.0,677,May,Unsustainable
13,58.1,16.4,736,Apr,Low
20,48.1,29.6,418,Jan,Unsustainable
47,65.9,37.1,186,Oct,Low
19,47.8,18.8,652,Dec,Unsustainable
7,48.0,29.9,797,Sep,Low
6,74.6,31.6,965,Jan,Low
66,32.9,25.5,991,Dec,Low
16,84.2,32.5,946,Jun,Low
32,81.1,25.3,877,Jan,Low
47,70.1,27.6,882,Jan,Low
75,65.6,15.2,141,Oct,Low
58,83.5,32.3,192,Aug,Low
85,41.1,31.5,796,Sep,Low
21,34.7,16.0,826,Sep,Unsustainable
29,44.4,24.2,606,Mar,Unsustainable
37,77.7,39.5,628,Jan,Low
50,32.1,25.5,364,Sep,Unsustainable
53,65.0,27.5,725,Feb,Low
7,89.7,37.7,391,Mar,Low
26,81.3,32.9,563,Feb,Low
26,61.3,29.6,903,Oct,Low
97,33.8,34.9,659,Feb,Low
20,79.9,36.6,918,Nov,Low
29,65.9,26.4,196,Apr,Unsustainable
96,36.9,26.9,986,Jul,Medium
27,35.6,24.7,194,Feb,Unsustainable
63,84.6,39.2,425,Oct,Low
96,70.2,32.4,173,Apr,Low
68,79.8,17.1,435,Oct,Low
60,82.7,36.6,167,Oct,Low
47,64.3,27.0,857,Jan,Low
18,61.0,16.7,1017,Oct,Low
3,55.8,28.7,176,Feb,Unsustainable
34,49.0,25.4,307,Jul,Unsustainable
63,56.1,36.9,983,Nov,Medium
48,76.4,20.1,865,Oct,Low
16,66.1,35.7,320,Oct,Unsustainable
43,83.6,28.9,361,Sep,Low
91,56.6,16.4,509,Jun,Low
29,66.4,39.3,430,May,Low
92,67.9,27.8,443,Apr,Low
45,65.5,22.3,870,Nov,Low
5,72.2,26.7,919,Dec,Low
98,44.2,36.4,173,Jun,Low
36,60.7,22.6,736,Apr,Low
23,36.3,19.8,799,May,Unsustainable
92,53.1,18.2,353,Jul,Low
45,59.3,22.4,932,Mar,Low
52,69.1,34.5,919,Nov,Medium
94,87.0,26.8,846,Nov,Medium
98,66.0,20.7,861,May,Medium
59,74.6,19.2,431,Aug,Low
96,60.4,23.3,497,Jun,Low
62,68.0,38.5,444,Feb,Low
84,34.3,23.6,683,Jan,Low
31,45.3,39.7,846,Aug,Low
86,51.7,27.1,935,Oct,Medium
32,58.3,19.5,767,Oct,Low
66,32.7,37.3,554,Feb,Low
17,38.4,26.5,1005,Feb,Low
24,46.6,32.7,214,Sep,Unsustainable
94,88.3,39.6,412,Apr,Medium
53,49.9,16.3,327,Sep,Unsustainable
57,58.9,17.4,933,May,Low
66,41.8,33.0,957,Mar,Low
45,66.6,22.0,344,Jun,Low
23,46.8,19.6,917,Feb,Low
31,42.4,16.0,625,Apr,Unsustainable
46,61.0,15.5,627,Jun,Low
85,30.3,34.4,526,May,Low
22,30.5,18.4,141,Mar,Unsustainable
65,43.1,26.7,564,Aug,Low
26,32.2,30.1,721,Sep,Low
1,36.5,25.7,377,Dec,Unsustainable
89,50.3,15.7,935,May,Medium
16,78.2,34.6,118,Oct,Unsustainable
32,64.3,15.3,165,Nov,Unsustainable
8,60.8,34.0,266,Sep,Unsustainable
42,47.6,37.3,684,Jan,Low
47,85.9,25.8,502,Nov,Low
38,53.8,28.4,1011,Sep,Low
92,35.2,26.9,921,May,Medium
41,67.0,24.7,508,Nov,Low
25,36.8,37.2,211,Feb,Unsustainable
98,50.7,37.3,373,Mar,Low
49,60.4,23.4,506,May,Low
24,82.5,30.4,472,Feb,Low
23,59.6,38.2,696,Feb,Low
12,72.1,39.1,750,Dec,Low
59,89.6,27.7,138,Sep,Low
6,37.9,26.3,204,Mar,Unsustainable
56,46.5,22.0,423,May,Low
35,53.7,39.0,892,May,Low
44,55.3,18.6,513,Oct,Low
19,54.7,29.5,528,Apr,Unsustainable
64,84.5,22.1,734,Dec,Medium
7,72.8,22.0,829,Jun,Low
15,66.5,25.1,988,Apr,Low
13,48.6,40.0,160,Nov,Unsustainable
75,79.4,16.4,711,Nov,Medium
86,87.3,29.5,406,May,Medium
14,79.3,17.1,453,Sep,Unsustainable
91,30.1,18.9,492,Aug,Low
97,68.2,26.0,303,May,Low
65,33.1,27.8,357,Jan,Low
31,45.5,21.5,585,Feb,Unsustainable
86,33.6,22.9,616,Nov,Low
62,66.2,17.2,545,Jul,Low
85,71.2,22.6,808,May,Medium
50,36.9,39.2,279,Jan,Unsustainable
24,53.0,38.6,441,Jan,Unsustainable
57,57.4,23.4,232,Jun,Low
62,52.1,29.3,542,Mar,Low
61,37.3,37.7,935,Nov,Low
21,55.1,15.2,352,May,Unsustainable
57,75.1,35.3,364,Mar,Low
57,34.3,38.7,192,Dec,Unsustainable
85,34.8,17.3,761,Aug,Low
48,51.3,19.0,510,Sep,Low
51,86.5,39.0,237,Dec,Low
41,70.1,28.4,307,Jul,Low
69,70.7,15.4,736,Sep,Low
14,51.7,21.4,845,Jan,Low
53,65.6,26.2,672,Feb,Low
59,30.6,32.3,406,Feb,Low
100,68.2,33.3,365,Dec,Low
96,84.8,39.9,745,Mar,Medium
7,66.8,22.2,417,Sep,Unsustainable
52,82.4,28.5,212,Jan,Low
59,73.4,28.3,1000,Jun,Medium
4,37.2,25.1,477,Oct,Unsustainable
67,84.1,19.2,553,Sep,Low
5,34.0,39.4,290,Mar,Unsustainable
95,62.0,36.3,990,Jul,Medium
93,38.5,27.5,539,Mar,Low
46,30.7,30.1,286,Jan,Unsustainable
98,55.3,20.7,930,May,Medium
54,47.7,28.6,466,Jun,Low
39,59.2,32.4,188,Jan,Unsustainable
51,64.6,27.9,286,Jun,Low
15,32.6,39.8,918,Apr,Low
12,37.4,30.3,231,Nov,Unsustainable
29,63.5,24.3,971,Apr,Low
18,50.6,34.3,734,Nov,Low
16,73.8,19.3,659,Feb,Low
62,69.1,24.6,899,Jun,Medium
18,80.7,23.7,475,Sep,Low
91,71.5,25.8,790,Jul,Medium
57,55.8,34.5,791,Oct,Low
54,70.4,27.1,198,Dec,Low
89,46.5,34.9,941,Mar,Medium
100,48.4,29.4,133,Apr,Low
89,77.3,23.6,681,Mar,Medium
61,56.8,35.2,270,Mar,Low
22,77.9,21.0,465,Jul,Low
8,79.3,20.6,883,Jan,Low
11,81.5,27.6,158,Mar,Unsustainable
0,85.0,21.5,280,Dec,Unsustainable
57,55.9,15.2,118,Jun,Unsustainable
0,49.1,31.2,325,Jul,Unsustainable
33,64.9,27.8,572,Nov,Low
95,52.3,26.1,194,Dec,Low
47,66.1,39.2,980,Apr,Medium
88,72.3,29.3,396,May,Low
0,71.3,36.6,692,Mar,Low
15,52.5,18.5,274,Dec,Unsustainable
60,40.0,29.2,321,Feb,Low
63,55.8,36.7,714,Jul,Low
62,38.6,29.6,153,Jan,Unsustainable
68,83.4,33.0,794,Aug,Medium
21,50.8,24.3,962,Apr,Low
92,39.3,17.3,502,Apr,Low
66,31.5,26.4,417,Aug,Low
75,68.7,24.9,966,Jun,Medium
25,68.2,36.7,448,May,Low
15,50.4,21.1,542,Apr,Unsustainable
50,34.3,39.2,932,Apr,Low
100,54.6,39.0,679,Jan,Medium
85,48.7,21.2,639,Nov,Low
56,70.6,23.7,885,Apr,Low
28,66.3,37.4,381,Jul,Low
77,51.9,39.2,459,Jun,Low
91,43.1,26.1,1014,May,Medium
68,89.3,23.0,922,Feb,Medium
46,57.2,28.2,730,May,Low
93,71.3,32.2,991,Jun,Medium
61,38.4,21.8,745,Nov,Low
68,59.1,33.4,740,Sep,Low
75,31.7,16.3,107,Jul,Unsustainable
15,60.3,16.2,662,Nov,Unsustainable
89,87.8,24.7,590,Sep,Medium
89,53.1,23.8,440,Jun,Low
47,32.3,22.9,571,Jan,Unsustainable
84,31.9,27.3,892,Feb,Low
38,53.3,23.0,786,May,Low
99,39.6,19.8,794,Mar,Low
32,31.4,22.7,803,Oct,Low
93,75.4,39.4,348,May,Medium
100,57.5,25.3,334,Jan,Low
22,47.4,26.1,182,Feb,Unsustainable
9,84.0,29.4,192,Oct,Unsustainable
68,37.0,39.6,984,Jul,Medium
99,87.4,21.0,493,Jun,Medium
33,48.8,32.0,923,Dec,Low
51,83.3,32.9,367,Jun,Low
94,66.2,30.2,516,Jul,Medium
9,79.6,17.2,731,Oct,Low
18,89.0,31.9,682,Sep,Low
57,47.3,16.6,628,Feb,Low
95,87.7,29.9,352,Jul,Medium
0,53.4,33.5,221,Oct,Unsustainable
68,53.1,20.3,991,Apr,Medium
3,50.4,36.0,109,May,Unsustainable
15,62.5,15.8,898,Jan,Low
23,39.2,36.1,415,Dec,Unsustainable
79,63.2,26.5,937,Jul,Medium
1,62.5,20.4,372,Jan,Unsustainable
91,75.7,18.3,405,Sep,Low
31,80.0,38.8,904,Sep,Medium
90,56.4,16.8,309,Nov,Low
83,48.1,20.0,829,Dec,Low
23,45.6,23.7,852,Dec,Low
11,41.7,30.5,985,Dec,Low
49,33.5,28.6,563,Nov,Low
34,50.5,18.1,811,Apr,Low
32,46.2,22.2,827,Jun,Low
32,88.0,21.0,816,Jul,Low
60,63.5,20.3,515,Feb,Low
50,50.8,25.3,315,Nov,Unsustainable
42,64.8,32.6,179,Jun,Unsustainable
100,38.4,20.4,878,Oct,Medium
11,56.6,24.2,579,Jun,Unsustainable
66,67.6,24.8,1001,Nov,Medium
64,59.3,39.4,990,Feb,Medium
32,54.1,38.9,646,Dec,Low
39,89.6,35.0,900,May,Medium
73,82.8,21.0,117,Sep,Low
42,67.4,16.7,264,May,Unsustainable
43,64.2,22.9,624,Nov,Low
28,67.2,21.7,301,Jul,Unsustainable
12,42.1,27.6,840,Jun,Low
11,53.7,34.4,445,Jul,Unsustainable
94,32.4,36.5,465,Dec,Low
45,58.5,36.1,547,May,Low
1,62.6,24.0,612,Sep,Unsustainable
34,43.7,32.2,418,Mar,Unsustainable
86,87.8,22.8,316,Apr,Low
80,84.6,16.5,133,Jul,Low
89,73.3,32.5,970,Nov,Medium
7,62.0,15.2,365,Jul,Unsustainable
92,82.2,25.2,739,Nov,Medium
25,37.8,23.2,823,Dec,Low
73,77.4,32.3,874,Mar,Medium
89,37.5,34.2,923,Oct,Medium
33,77.7,22.6,179,Oct,Unsustainable
6,46.5,35.3,776,May,Low
67,82.6,22.3,512,Jul,Low
57,86.6,26.2,351,Sep,Low
74,38.9,33.2,111,Jan,Unsustainable
28,57.8,32.3,500,May,Low
35,88.9,39.7,915,May,Medium
88,59.0,20.6,823,Apr,Medium
20,81.8,31.6,381,Jul,Low
35,65.3,30.2,211,Oct,Unsustainable
9,52.5,37.9,822,Oct,Low
100,47.1,18.9,477,Nov,Low
72,42.2,33.8,850,Jun,Low
23,75.7,29.2,367,Aug,Low
63,53.2,21.9,1016,Aug,Low
98,60.7,26.9,397,Aug,Low
48,59.5,23.3,416,Nov,Low
98,64.6,29.5,669,Apr,Medium
35,81.9,37.2,608,Sep,Low
81,88.8,29.2,645,Aug,Medium
95,54.5,30.8,874,Dec,Medium
23,79.7,28.0,464,Mar,Low
22,75.9,16.3,646,Nov,Low
61,64.4,20.8,370,Feb,Low
95,87.4,27.3,573,May,Medium
36,42.0,22.8,838,Sep,Low
11,36.6,19.5,636,Nov,Unsustainable
54,81.2,27.6,333,Nov,Low
12,56.3,23.1,158,Oct,Unsustainable
22,80.8,21.5,350,Jun,Unsustainable
88,83.6,26.6,946,Feb,Medium
98,33.7,18.3,185,Apr,Low
29,83.0,38.2,862,Nov,Low
16,56.9,36.7,489,May,Unsustainable
61,60.6,32.7,279,Apr,Low
83,67.6,17.7,818,Apr,Medium
88,85.6,34.4,955,Mar,Medium
85,31.1,35.2,248,Jan,Low
12,58.6,34.2,682,Jan,Low
58,71.3,17.8,220,Apr,Low
18,73.4,31.1,864,Aug,Low
48,71.6,35.9,704,Oct,Low
99,38.1,29.4,355,Feb,Low
11,48.0,31.2,865,Aug,Low
60,51.5,26.5,963,Jul,Low
18,78.3,28.2,899,Nov,Low
75,46.7,15.9,408,Oct,Low
8,42.6,31.0,158,Apr,Unsustainable
70,87.4,17.0,168,Dec,Low
27,30.5,25.9,545,Dec,Unsustainable
77,89.9,22.3,487,Jul,Low
94,70.6,28.6,185,Aug,Low
51,79.7,18.3,885,Jul,Low
82,47.7,32.3,326,Apr,Low
15,30.9,34.9,692,Mar,Unsustainable
68,74.3,19.1,725,Nov,Low
98,80.0,17.6,283,Dec,Low
11,74.4,18.6,891,Jan,Low
24,38.6,36.9,421,Feb,Unsustainable
51,75.2,28.2,1008,Jul,Medium
84,76.1,26.7,417,Apr,Low
99,69.5,17.7,665,Mar,Medium
52,76.0,31.2,498,Dec,Low
22,80.8,36.7,808,Sep,Low
15,66.8,35.7,998,Aug,Low
56,35.3,30.7,392,Jan,Low
38,59.3,16.9,392,Sep,Unsustainable
52,34.7,17.8,584,Apr,Low
41,54.5,16.2,998,Feb,Low
57,54.4,21.4,546,Aug,Low
38,34.0,18.4,902,Mar,Low
13,50.9,21.5,791,Aug,Low
94,36.7,24.6,991,Nov,Medium
4,78.5,38.6,511,Sep,Low
34,86.9,30.3,607,Sep,Low
86,34.3,35.9,833,Oct,Low
92,87.3,32.8,885,Jun,Medium
74,61.4,17.8,989,Aug,Medium
17,48.0,33.4,343,Oct,Unsustainable
75,34.6,21.9,519,Dec,Low
8,60.0,31.0,253,Sep,Unsustainable
73,77.7,23.5,915,Jul,Medium
57,72.4,39.9,523,Sep,Low
16,33.0,21.6,372,Aug,Unsustainable
6,34.4,22.0,746,Mar,Unsustainable
45,54.2,38.3,924,Dec,Low
12,47.7,15.6,619,Aug,Unsustainable
39,43.9,32.4,227,Aug,Unsustainable
41,46.9,33.1,472,May,Low
8,78.2,35.9,667,Apr,Low
49,85.8,39.4,737,Nov,Medium
26,54.3,39.4,258,May,Unsustainable
65,84.4,16.6,670,Sep,Low
4,49.3,35.5,669,Aug,Unsustainable
28,58.6,31.2,751,Nov,Low
36,43.6,31.2,275,Apr,Unsustainable
37,68.4,18.2,719,May,Low
82,88.7,31.3,310,Aug,Low
7,66.2,39.6,546,Feb,Low
64,51.5,37.8,685,Dec,Low
85,68.9,26.0,266,May,Low
16,37.4,16.0,559,Apr,Unsustainable
70,83.3,24.1,1015,May,Medium
88,60.2,35.7,456,Jun,Low
44,57.0,32.5,403,Jun,Low
3,65.2,26.5,332,Sep,Unsustainable
35,67.5,16.4,426,Feb,Low
69,34.3,25.7,983,Mar,Low
30,71.0,26.7,281,Mar,Unsustainable
18,44.5,38.2,733,Apr,Low
60,72.8,31.0,433,Jul,Low
53,79.4,22.8,814,Dec,Low
